entry_id,name,factor_class,factor_key,dir,needs,proxy_note,horizon,ic_mean_overall,ic_ir_overall,ic_t_overall,n_days_overall,pct_pos_overall,ic_mean_risk_on,ic_ir_risk_on,ic_t_risk_on,ndays_risk_on,ic_mean_risk_off,ic_ir_risk_off,ic_t_risk_off,ndays_risk_off,ic_mean_neutral,ic_ir_neutral,ic_t_neutral,ndays_neutral
FCT-TECH-065,整数关口关键位,technical,f_te065_round_dist,1,kline,"-|价-最近整数关|/价（距离代理,方向存疑）",10,-0.01988,-0.2373,-7.85,1094,0.4132,-0.00785,-0.0849,-1.026,166.0,-0.03995,-0.5519,-6.894,181.0,-0.01814,-0.217,-6.106,867.0
FCT-TECH-065,整数关口关键位,technical,f_te065_round_dist,1,kline,"-|价-最近整数关|/价（距离代理,方向存疑）",20,-0.02691,-0.3054,-10.103,1094,0.383,0.00832,0.0819,0.99,166.0,-0.05258,-0.6086,-7.601,181.0,-0.02834,-0.3385,-9.527,867.0
FCT-TECH-066,RSI极端超卖,technical,f_te066_neg_rsi6,1,kline,-RSI6（高=超卖看反弹）,5,0.02261,0.1897,6.274,1094,0.5585,0.01215,0.1297,1.567,166.0,0.02491,0.1844,2.304,181.0,0.02409,0.2005,5.643,867.0
FCT-TECH-066,RSI极端超卖,technical,f_te066_neg_rsi6,1,kline,-RSI6（高=超卖看反弹）,10,0.01547,0.1351,4.468,1093,0.5407,-0.0024,-0.0244,-0.295,166.0,0.03055,0.271,3.385,181.0,0.0158,0.1347,3.789,867.0
FCT-TECH-066,RSI极端超卖,technical,f_te066_neg_rsi6,1,kline,-RSI6（高=超卖看反弹）,20,0.01154,0.1071,3.542,1093,0.5352,-0.00754,-0.0787,-0.951,166.0,0.02079,0.2118,2.646,181.0,0.01324,0.119,3.346,867.0
FCT-TECH-067,MACD零轴位置,technical,f_te067_macd_dif,1,kline,DIF/close（零轴上下代理）,5,-0.03033,-0.216,-7.144,1094,0.425,0.00523,0.0403,0.487,166.0,-0.07105,-0.4983,-6.224,181.0,-0.02886,-0.2061,-5.799,867.0
FCT-TECH-067,MACD零轴位置,technical,f_te067_macd_dif,1,kline,DIF/close（零轴上下代理）,10,-0.03807,-0.2783,-9.203,1094,0.4122,0.01033,0.0741,0.895,166.0,-0.08823,-0.6417,-8.015,181.0,-0.03711,-0.2792,-7.858,867.0
FCT-TECH-067,MACD零轴位置,technical,f_te067_macd_dif,1,kline,DIF/close（零轴上下代理）,20,-0.04543,-0.3422,-11.32,1094,0.3949,0.01535,0.0986,1.191,166.0,-0.09708,-0.8031,-10.03,181.0,-0.04646,-0.3693,-10.392,867.0
FCT-TECH-068,区间位置百分位,technical,f_te068_pos_range20,1,kline,"20日高低区间位置[0,1]",5,-0.01008,-0.0817,-2.7,1092,0.4835,-0.00334,-0.0303,-0.366,166.0,-0.01307,-0.098,-1.224,181.0,-0.01074,-0.0868,-2.439,867.0
FCT-TECH-068,区间位置百分位,technical,f_te068_pos_range20,1,kline,"20日高低区间位置[0,1]",10,-0.00818,-0.0702,-2.32,1092,0.4945,0.00403,0.0369,0.445,166.0,-0.01563,-0.1378,-1.721,181.0,-0.00897,-0.0757,-2.129,867.0
FCT-TECH-068,区间位置百分位,technical,f_te068_pos_range20,1,kline,"20日高低区间位置[0,1]",20,-0.00995,-0.0928,-3.068,1092,0.478,0.00796,0.0807,0.976,166.0,-0.02127,-0.2103,-2.627,181.0,-0.01102,-0.1007,-2.829,867.0
FCT-TECH-070,量比五分位,technical_indicator,f_te070_liangbi,1,kline,当日量/5日均量,5,-0.0242,-0.2803,-9.272,1094,0.3793,-0.02614,-0.317,-3.83,166.0,-0.00525,-0.0566,-0.707,181.0,-0.02757,-0.3232,-9.096,867.0
FCT-TECH-070,量比五分位,technical_indicator,f_te070_liangbi,1,kline,当日量/5日均量,10,-0.02005,-0.2424,-8.014,1093,0.4035,-0.0149,-0.1863,-2.251,166.0,-0.01077,-0.126,-1.574,181.0,-0.02284,-0.2765,-7.775,867.0
FCT-TECH-070,量比五分位,technical_indicator,f_te070_liangbi,1,kline,当日量/5日均量,20,-0.015,-0.1917,-6.338,1093,0.4282,-0.01352,-0.1724,-2.083,166.0,-0.0053,-0.0704,-0.879,181.0,-0.01718,-0.2183,-6.141,867.0
FCT-TECH-071,波段浪型,technical,f_te071_wave_hl,1,kline,3日高低点抬升/降低计分,5,-0.01189,-0.1094,-3.619,1094,0.4598,-0.01283,-0.1135,-1.372,166.0,0.00204,0.0195,0.244,181.0,-0.01446,-0.1333,-3.75,867.0
FCT-TECH-071,波段浪型,technical,f_te071_wave_hl,1,kline,3日高低点抬升/降低计分,10,-0.00797,-0.074,-2.448,1094,0.4771,-0.00373,-0.0312,-0.377,166.0,-0.0076,-0.0788,-0.984,181.0,-0.00882,-0.082,-2.308,867.0
FCT-TECH-071,波段浪型,technical,f_te071_wave_hl,1,kline,3日高低点抬升/降低计分,20,-0.00174,-0.0172,-0.568,1094,0.5018,-1e-05,-0.0001,-0.001,166.0,-0.00055,-0.0063,-0.078,181.0,-0.00229,-0.0226,-0.635,867.0
FCT-TECH-072,布林收口,technical,f_te072_neg_bollbw,1,kline,-布林带宽（收口=压缩）,5,0.0739,0.5883,19.442,1092,0.7454,0.07768,0.6974,8.426,166.0,0.09819,0.6926,8.651,181.0,0.06841,0.5505,15.474,867.0
FCT-TECH-072,布林收口,technical,f_te072_neg_bollbw,1,kline,-布林带宽（收口=压缩）,10,0.08379,0.6539,21.609,1092,0.7592,0.10273,0.8768,10.594,166.0,0.11739,0.8055,10.061,181.0,0.07365,0.5894,16.566,867.0
FCT-TECH-072,布林收口,technical,f_te072_neg_bollbw,1,kline,-布林带宽（收口=压缩）,20,0.09699,0.8116,26.82,1092,0.7766,0.10799,1.0782,13.027,166.0,0.11892,0.9829,12.276,181.0,0.09062,0.7432,20.889,867.0
FCT-TECH-073,缺口ATR分级,technical,f_te073_gap_atr,1,kline,(开-昨收)/ATR14,5,0.03318,0.4417,14.601,1093,0.6871,0.03575,0.4524,5.467,166.0,0.03512,0.4728,5.905,181.0,0.03232,0.4331,12.181,867.0
FCT-TECH-073,缺口ATR分级,technical,f_te073_gap_atr,1,kline,(开-昨收)/ATR14,10,0.03341,0.4519,14.942,1093,0.6825,0.04164,0.5338,6.45,166.0,0.03456,0.4449,5.557,181.0,0.03166,0.4375,12.306,867.0
FCT-TECH-073,缺口ATR分级,technical,f_te073_gap_atr,1,kline,(开-昨收)/ATR14,20,0.03792,0.5329,17.609,1092,0.7189,0.04956,0.6824,8.246,166.0,0.03529,0.4865,6.076,181.0,0.03628,0.5147,14.467,867.0
FCT-TECH-074,大级别底部突破,technical,f_te074_base_break500,1,kline,close/500日最高（脱离大底代理）,5,-0.01681,-0.1223,-2.207,326,0.4847,0.05019,0.6389,3.32,166.0,-0.04421,-0.3356,-2.808,181.0,-0.01633,-0.1148,-1.738,867.0
FCT-TECH-074,大级别底部突破,technical,f_te074_base_break500,1,kline,close/500日最高（脱离大底代理）,10,-0.0224,-0.16,-2.822,311,0.4887,0.08585,1.5209,7.134,166.0,-0.04299,-0.2968,-2.356,181.0,-0.0272,-0.1941,-2.918,867.0
FCT-TECH-074,大级别底部突破,technical,f_te074_base_break500,1,kline,close/500日最高（脱离大底代理）,20,-0.02434,-0.1683,-2.949,307,0.4593,0.10206,1.5229,7.143,166.0,-0.0308,-0.2242,-1.722,181.0,-0.03496,-0.2385,-3.586,867.0
FCT-TECH-075,上方套牢盘压力,technical,f_te075_overhead250,-1,kline,"(250日最高-价)/价（压力深度,dir=-1）",5,-0.01519,-0.1137,-3.309,847,0.4439,-0.06594,-0.6114,-6.175,166.0,-0.00303,-0.0232,-0.271,181.0,-0.00941,-0.0689,-1.701,867.0
