entry_id,name,factor_class,factor_key,dir,needs,proxy_note,horizon,ic_mean_overall,ic_ir_overall,ic_t_overall,n_days_overall,pct_pos_overall,ic_mean_risk_on,ic_ir_risk_on,ic_t_risk_on,ndays_risk_on,ic_mean_risk_off,ic_ir_risk_off,ic_t_risk_off,ndays_risk_off,ic_mean_neutral,ic_ir_neutral,ic_t_neutral,ndays_neutral
FCT-TECH-058,月线20日均线支撑,technical,f_te058_ma250_support,1,kline,指数级口诀映射到个股 close/MA250,10,-0.04556,-0.3101,-9.632,965,0.3824,0.00113,0.0092,0.1,166.0,-0.07521,-0.5226,-6.094,181.0,-0.04771,-0.3192,-8.505,867.0
FCT-TECH-058,月线20日均线支撑,technical,f_te058_ma250_support,1,kline,指数级口诀映射到个股 close/MA250,20,-0.05628,-0.3707,-11.516,965,0.3658,-0.02635,-0.1967,-2.146,166.0,-0.07631,-0.5139,-5.993,181.0,-0.05746,-0.3715,-9.899,867.0
FCT-TECH-059,历史天量,technical,f_te059_hist_volspike,-1,kline,"量/250日最大量（天量=顶部信号,dir=-1）",5,-0.0758,-0.7071,-21.966,965,0.2321,-0.05476,-0.579,-6.316,166.0,-0.0972,-0.7184,-8.378,181.0,-0.07523,-0.7346,-19.574,867.0
FCT-TECH-059,历史天量,technical,f_te059_hist_volspike,-1,kline,"量/250日最大量（天量=顶部信号,dir=-1）",10,-0.08514,-0.7578,-23.541,965,0.2052,-0.04931,-0.4414,-4.815,166.0,-0.1068,-0.787,-9.178,181.0,-0.087,-0.8195,-21.836,867.0
FCT-TECH-059,历史天量,technical,f_te059_hist_volspike,-1,kline,"量/250日最大量（天量=顶部信号,dir=-1）",20,-0.10285,-0.8515,-26.453,965,0.1896,-0.05189,-0.443,-4.833,166.0,-0.12752,-0.9117,-10.632,181.0,-0.10666,-0.9263,-24.683,867.0
FCT-TECH-060,下跌斜率放缓,technical,f_te060_decl_slowdown,1,kline,mom5-mom5.shift(5)（斜率改善）,5,-0.01703,-0.1595,-5.276,1094,0.4351,-0.02143,-0.2247,-2.715,166.0,-0.0095,-0.0797,-0.996,181.0,-0.0177,-0.1666,-4.688,867.0
FCT-TECH-060,下跌斜率放缓,technical,f_te060_decl_slowdown,1,kline,mom5-mom5.shift(5)（斜率改善）,10,-0.01546,-0.1511,-4.998,1094,0.4561,-0.02283,-0.2679,-3.237,166.0,-0.01288,-0.1065,-1.33,181.0,-0.01461,-0.1443,-4.06,867.0
FCT-TECH-060,下跌斜率放缓,technical,f_te060_decl_slowdown,1,kline,mom5-mom5.shift(5)（斜率改善）,20,-0.01291,-0.1254,-4.146,1094,0.4634,-0.02922,-0.2693,-3.253,166.0,-0.01337,-0.1233,-1.54,181.0,-0.00982,-0.0975,-2.743,867.0
FCT-TECH-061,均线排列状态,technical,f_te061_ma_align,1,kline,"MA5/10/20/60 排列计分[-3,3]",5,-0.03203,-0.2812,-9.301,1094,0.3931,-0.01019,-0.1022,-1.235,166.0,-0.05013,-0.4482,-5.598,181.0,-0.03249,-0.2796,-7.869,867.0
FCT-TECH-061,均线排列状态,technical,f_te061_ma_align,1,kline,"MA5/10/20/60 排列计分[-3,3]",10,-0.03492,-0.3113,-10.296,1094,0.3784,-0.00087,-0.008,-0.097,166.0,-0.05274,-0.4808,-6.005,181.0,-0.03769,-0.3356,-9.446,867.0
FCT-TECH-061,均线排列状态,technical,f_te061_ma_align,1,kline,"MA5/10/20/60 排列计分[-3,3]",20,-0.04397,-0.3656,-12.093,1094,0.3821,0.00125,0.0112,0.135,166.0,-0.06037,-0.468,-5.845,181.0,-0.04908,-0.415,-11.68,867.0
FCT-TECH-062,乖离率极端±15%,technical,f_te062_bias20,1,kline,"close/MA20-1（极端两端,IC 定号）",5,-0.03874,-0.3104,-10.267,1094,0.3867,-0.03531,-0.3215,-3.885,166.0,-0.04259,-0.3203,-4.0,181.0,-0.03862,-0.3068,-8.634,867.0
FCT-TECH-062,乖离率极端±15%,technical,f_te062_bias20,1,kline,"close/MA20-1（极端两端,IC 定号）",10,-0.0381,-0.313,-10.352,1094,0.3921,-0.02407,-0.2012,-2.431,166.0,-0.04063,-0.3162,-3.949,181.0,-0.04019,-0.3329,-9.368,867.0
FCT-TECH-062,乖离率极端±15%,technical,f_te062_bias20,1,kline,"close/MA20-1（极端两端,IC 定号）",20,-0.0417,-0.3529,-11.672,1094,0.3821,-0.01937,-0.1667,-2.014,166.0,-0.05091,-0.3601,-4.498,181.0,-0.04401,-0.3891,-10.95,867.0
FCT-TECH-063,KDJ钝化,technical,f_te063_kdj_j,1,kline,"KDJ(9,3,3) J 值",5,-0.01286,-0.1102,-3.644,1094,0.4717,-0.01653,-0.1604,-1.938,166.0,-0.00511,-0.0411,-0.513,181.0,-0.01371,-0.1166,-3.281,867.0
FCT-TECH-063,KDJ钝化,technical,f_te063_kdj_j,1,kline,"KDJ(9,3,3) J 值",10,-0.00956,-0.0822,-2.72,1094,0.4799,-0.00291,-0.0276,-0.333,166.0,-0.007,-0.0568,-0.709,181.0,-0.01129,-0.0967,-2.721,867.0
FCT-TECH-063,KDJ钝化,technical,f_te063_kdj_j,1,kline,"KDJ(9,3,3) J 值",20,-0.00651,-0.0593,-1.96,1094,0.4927,-0.0014,-0.0133,-0.161,166.0,0.00039,0.0034,0.043,181.0,-0.00881,-0.0803,-2.26,867.0
FCT-TECH-064,ATR14,technical,f_te064_natr14,1,kline,ATR14/close（高波动代理）,5,-0.07681,-0.481,-15.909,1094,0.3263,-0.05918,-0.4485,-5.419,166.0,-0.11158,-0.6251,-7.808,181.0,-0.07322,-0.4585,-12.904,867.0
FCT-TECH-064,ATR14,technical,f_te064_natr14,1,kline,ATR14/close（高波动代理）,10,-0.08997,-0.5566,-18.41,1094,0.2989,-0.0677,-0.5583,-6.746,166.0,-0.13457,-0.705,-8.806,181.0,-0.0853,-0.5314,-14.955,867.0
