panel,factor_key,origin,formula_note,bucket,horizon,window,note,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,n_days_bucket
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",overall,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.00023,0.10696,-0.0021,-0.07,1094,0.4634,
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",risk_off,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.01688,0.10044,-0.1681,-2.1,156,0.3974,181.0
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",risk_on,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.0015,0.10513,-0.0142,-0.172,146,0.4589,166.0
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",neutral,10,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00275,0.11365,0.0242,0.681,792,0.4697,867.0
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",overall,10,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.0006,0.11128,0.0054,0.178,1094,0.4689,
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",risk_off,10,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.0165,0.10986,-0.1502,-1.877,156,0.4295,181.0
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",risk_on,10,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00721,0.09803,0.0736,0.889,146,0.5068,166.0
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",neutral,20,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.00144,0.12603,0.0114,0.32,792,0.4987,867.0
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",overall,20,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.00114,0.11731,-0.0097,-0.321,1094,0.4918,
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",risk_off,20,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.02589,0.09384,-0.2759,-3.447,156,0.3718,181.0
B1_consensus_plain_counts,f_exp004_log_coverage,FCT-EXP-004 异常覆盖,"log1p(n_orgs),未做回归残差(偏离)",risk_on,20,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",0.01136,0.08256,0.1376,1.663,146,0.5822,166.0
B1_consensus_plain_counts,f_exp006_rating_chg60,FCT-EXP-006 评级动量(单腿),rating_score_mean-60日均值,neutral,5,2019-01-01~2023-12-31,"plain 表 forecast_year 为固定标签(2026/27/28),按最小=FY1 取用并登记; 值类列平推快照 PIT 坏 SKIP(P3§5 先例)；004 未做市值回归(偏离登记)；003 代理=评级上调广度",-0.00228,0.03981,-0.0574,-1.615,792,0.4886,867.0
