因子ID,THS代码,因子名称,类别,频度,数据来源
FAC_0255,ths_neeq_bshare_stock,Neeq Bshare,股份变动,年频,THS_BD
FAC_0256,ths_neeq_sum_stock,Neeq Sum,其他,年频,THS_BD
FAC_0257,ths_hk_listed_stock_stock,Hk Listed,上市发行,年频,THS_BD
FAC_0258,ths_overseas_listed_shares_stock,Overseas Listed Shares,股份变动,年频,THS_BD
FAC_0259,ths_free_float_shares_stock,Free Float Shares,股份变动,年频,THS_BD
FAC_0260,ths_total_float_shares_stock,Total Float Shares,股份变动,年频,THS_BD
FAC_0261,ths_total_limited_shares_stock,Total Limited Shares,股份变动,年频,THS_BD
FAC_0262,ths_unfloat_shares_before_reform_stock,Unfloat Shares Before Reform,股份变动,年频,THS_BD
FAC_0263,ths_float_ashare_to_total_shares_stock,Float Ashare To Total Shares,股份变动,年频,THS_BD
FAC_0264,ths_limited_ashare_ratio_stock,Limited Ashare Ratio,股份变动,年频,THS_BD
FAC_0265,ths_total_ashare_to_total_shares_stock,Total Ashare To Total Shares,股份变动,年频,THS_BD
FAC_0266,ths_float_bshare_to_total_shares_stock,Float Bshare To Total Shares,股份变动,年频,THS_BD
FAC_0267,ths_limited_bshare_ratio_stock,Limited Bshare Ratio,股份变动,年频,THS_BD
FAC_0268,ths_total_bshare_to_total_shares_stock,Total Bshare To Total Shares,股份变动,年频,THS_BD
FAC_0269,ths_neeq_ashare_to_total_shares_stock,Neeq Ashare To Total Shares,股份变动,年频,THS_BD
FAC_0270,ths_neeq_bshare_to_total_shares_stock,Neeq Bshare To Total Shares,股份变动,年频,THS_BD
FAC_0271,ths_neeq_sum_to_total_shares_stock,Neeq Sum To Total Shares,股份变动,年频,THS_BD
FAC_0272,ths_hk_listed_stock_ratio_stock,Hk Listed Ratio,上市发行,年频,THS_BD
FAC_0273,ths_overseas_listed_shares_ratio_stock,Overseas Listed Shares Ratio,股份变动,年频,THS_BD
FAC_0274,ths_free_float_shares_ratio_stock,Free Float Shares Ratio,股份变动,年频,THS_BD
FAC_0275,ths_total_float_shares_ratio_stock,Total Float Shares Ratio,股份变动,年频,THS_BD
FAC_0276,ths_total_limited_shares_ratio_stock,Total Limited Shares Ratio,股份变动,年频,THS_BD
FAC_0277,ths_unfloat_share_pre_reform_ratio_stock,Unfloat Share Pre Reform Ratio,股份变动,年频,THS_BD
FAC_0278,ths_state_held_ls_stock,State Held Ls,其他,年频,THS_BD
FAC_0279,ths_soap_held_ls_stock,Soap Held Ls,其他,年频,THS_BD
FAC_0280,ths_other_domenstic_invest_held_ls_stock,Other Domenstic Invest Held Ls,其他,年频,THS_BD
FAC_0281,ths_domen_legal_person_held_ls_stock,Domen Legal Person Held Ls,其他,年频,THS_BD
FAC_0282,ths_org_allot_ls_stock,Org Allot Ls,其他,年频,THS_BD
FAC_0283,ths_domenstic_np_held_ls_stock,Domenstic Np Held Ls,利润表,年频,THS_BD
FAC_0284,ths_sm_held_ls_stock,Sm Held Ls,高管信息,年频,THS_BD
FAC_0285,ths_total_invest_held_ls_stock,Total Invest Held Ls,其他,年频,THS_BD
FAC_0286,ths_foreign_legal_person_held_ls_stock,Foreign Legal Person Held Ls,其他,年频,THS_BD
FAC_0287,ths_foreign_mp_held_ls_stock,Foreign Mp Held Ls,其他,年频,THS_BD
FAC_0288,ths_liftingdate_stock,Liftingdate,其他,年频,THS_BD
FAC_0289,ths_floatsharesvol_stock,Floatsharesvol,股份变动,年频,THS_BD
FAC_0290,ths_publish_flow_num_the_term_stock,Publish Flow Num The Term,员工信息,年频,THS_BD
FAC_0291,ths_unfloatsharesvol_stock,Unfloatsharesvol,股份变动,年频,THS_BD
FAC_0292,ths_floatedsharesvol_stock,Floatedsharesvol,股份变动,年频,THS_BD
FAC_0293,ths_floatsharestype_stock,Floatsharestype,股份变动,年频,THS_BD
FAC_0294,ths_limited_shares_lifted_date_int_stock,Limited Shares Lifted Date Int,股份变动,年频,THS_BD
FAC_0295,ths_float_shares_num_int_stock,Float Shares Num Int,股份变动,年频,THS_BD
FAC_0296,ths_publish_float_num_int_stock,Publish Float Num Int,股份变动,年频,THS_BD
FAC_0297,ths_float_shares_type_fwd_stock,Float Shares Type Fwd,股份变动,年频,THS_BD
FAC_0298,ths_limited_shares_lifted_date_fwd_stock,Limited Shares Lifted Date Fwd,股份变动,年频,THS_BD
FAC_0299,ths_ppshare_lifted_date_stock,Ppshare Lifted Date,股份变动,年频,THS_BD
FAC_0300,ths_float_shares_num_fwd_stock,Float Shares Num Fwd,股份变动,年频,THS_BD
