factor,h,window,grp,n_days,ic_mean,ic_std,ic_ir,t_stat,avg_n,pos_share,avg_base_width,prior_coverage
adosc,5,IS,LOW,281,-0.0957454767640919,0.14477463582617067,-0.661341513433696,-11.086103908353321,4673.135231316726,0.26334519572953735,4735.227758007118,l1_pending
adosc,5,IS,MID,282,-0.10202173121983348,0.12120745657526048,-0.8417116743678706,-14.134742624481717,4491.464539007092,0.2198581560283688,4583.531914893617,l1_pending
adosc,5,IS,HIGH,163,-0.10957695575230038,0.10802228336522451,-1.0143921452004445,-12.950891944257377,4512.0245398773,0.1656441717791411,4563.60736196319,l1_pending
adosc,5,OOS,total,654,-0.0909044186737755,0.1743335671434298,-0.5214395607415383,-13.33499482343877,5244.957186544342,0.3058103975535168,5348.909785932722,l1_pending
adosc,5,OOS,LOW,167,-0.08960899961976836,0.14607035719699596,-0.6134646436095059,-7.927710332507279,5123.976047904192,0.281437125748503,5329.209580838324,l1_pending
adosc,5,OOS,MID,249,-0.09205498106144355,0.16737499281221205,-0.5499924422086488,-8.6787343509968,5297.008032128514,0.321285140562249,5359.44578313253,l1_pending
adosc,5,OOS,HIGH,238,-0.0906096495455816,0.19868805763621916,-0.45603973698046874,-7.035438403244051,5275.390756302521,0.3067226890756303,5351.710084033613,l1_pending
adosc,10,IS,total,726,-0.124969747156601,0.12827397797929574,-0.9742408329830695,-26.250322201318248,4497.046831955923,0.15564738292011018,4637.772727272727,l1_pending
adosc,10,IS,LOW,281,-0.125662098590405,0.1486032705560257,-0.8456213522099332,-14.175196910062766,4612.142348754448,0.21352313167259787,4735.227758007118,l1_pending
adosc,10,IS,MID,282,-0.11528548782374448,0.12473682940346029,-0.9242297433330976,-15.520456642965144,4407.436170212766,0.16312056737588654,4583.531914893617,l1_pending
adosc,10,IS,HIGH,163,-0.14053054702756188,0.08985160721848633,-1.5640293076321146,-19.96818947843162,4453.662576687117,0.04294478527607362,4563.60736196319,l1_pending
adosc,10,OOS,total,649,-0.10284834373632468,0.17287501036278194,-0.5949289230438524,-15.156098931938343,5139.269645608629,0.28043143297380585,5348.050847457627,l1_pending
adosc,10,OOS,LOW,167,-0.0839697417605673,0.14863384871212043,-0.5649436012600536,-7.30068027823307,4928.934131736527,0.25748502994011974,5329.209580838324,l1_pending
adosc,10,OOS,MID,244,-0.11614885257085433,0.16447133384870863,-0.7061951153001261,-11.031120340799344,5224.3442622950815,0.2581967213114754,5357.377049180328,l1_pending
adosc,10,OOS,HIGH,238,-0.10245927808223326,0.19511582871968913,-0.5251202772965703,-8.10116107354189,5199.638655462185,0.31932773109243695,5351.710084033613,l1_pending
adosc,20,IS,total,726,-0.16083065947203987,0.12479812776826721,-1.288726540599071,-34.72394686694861,4359.297520661157,0.10055096418732783,4637.772727272727,l1_pending
adosc,20,IS,LOW,281,-0.1840792581262777,0.13964388651276194,-1.3182049191208587,-22.097141051983055,4487.893238434163,0.12455516014234876,4735.227758007118,l1_pending
adosc,20,IS,MID,282,-0.13679066527617337,0.1295120218192307,-1.0562005237405838,-17.736622904901235,4261.741134751773,0.13120567375886524,4583.531914893617,l1_pending
adosc,20,IS,HIGH,163,-0.16234245175052783,0.07040042708302731,-2.3059867457773793,-29.440867923470844,4306.386503067484,0.006134969325153374,4563.60736196319,l1_pending
adosc,20,OOS,total,639,-0.11725653583311119,0.1803996899591414,-0.649981914379501,-16.430534881252704,4924.953051643192,0.3004694835680751,5346.245696400626,l1_pending
