col,prior_coverage,norm_class,window,bucket,horizon,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,median_xsec_n
gmma_l35,none,PX,OOS,overall,5,0.069,0.17131,0.4028,10.3,654,0.6651,4581
gmma_l35,none,PX,OOS,overall,10,0.0793,0.16494,0.4808,12.248,649,0.678,4581
gmma_l35,none,PX,OOS,overall,20,0.09539,0.16207,0.5886,14.879,639,0.734,4581
gmma_l35,none,PX,OOS,vol_high,5,0.08552,0.22856,0.3742,5.773,238,0.605,4581
gmma_l35,none,PX,OOS,vol_high,10,0.10443,0.21643,0.4825,7.444,238,0.6765,4581
gmma_l35,none,PX,OOS,vol_high,20,0.14446,0.20347,0.71,10.907,236,0.7881,4581
gmma_l35,none,PX,OOS,vol_low,5,0.05241,0.11981,0.4374,5.602,164,0.6829,4581
gmma_l35,none,PX,OOS,vol_low,10,0.05896,0.1084,0.5439,6.965,164,0.6646,4581
gmma_l35,none,PX,OOS,vol_low,20,0.06856,0.11058,0.62,7.94,164,0.7561,4581
gmma_l35,none,PX,OOS,vol_mid,5,0.06419,0.13131,0.4888,7.76,252,0.7103,4581
gmma_l35,none,PX,OOS,vol_mid,10,0.06859,0.1332,0.5149,8.092,247,0.6883,4581
gmma_l35,none,PX,OOS,vol_mid,20,0.06536,0.13179,0.4959,7.667,239,0.6653,4581
gmma_l40,none,PX,IS,overall,5,0.04992,0.13765,0.3627,9.772,726,0.6309,4581
gmma_l40,none,PX,IS,overall,10,0.05667,0.1379,0.411,11.073,726,0.6653,4581
gmma_l40,none,PX,IS,overall,20,0.06946,0.13899,0.4997,13.465,726,0.6639,4581
gmma_l40,none,PX,IS,vol_high,5,0.0597,0.14716,0.4057,5.179,163,0.638,4581
gmma_l40,none,PX,IS,vol_high,10,0.06436,0.13591,0.4736,6.046,163,0.681,4581
gmma_l40,none,PX,IS,vol_high,20,0.09583,0.11706,0.8186,10.452,163,0.7546,4581
gmma_l40,none,PX,IS,vol_low,5,0.05194,0.12588,0.4126,6.817,273,0.652,4581
gmma_l40,none,PX,IS,vol_low,10,0.05688,0.13227,0.43,7.105,273,0.674,4581
gmma_l40,none,PX,IS,vol_low,20,0.07245,0.13728,0.5278,8.72,273,0.7033,4581
gmma_l40,none,PX,IS,vol_mid,5,0.04253,0.14271,0.298,5.075,290,0.6069,4581
gmma_l40,none,PX,IS,vol_mid,10,0.05215,0.14433,0.3613,6.153,290,0.6483,4581
gmma_l40,none,PX,IS,vol_mid,20,0.05182,0.14945,0.3468,5.905,290,0.5759,4581
gmma_l40,none,PX,OOS,overall,5,0.07061,0.17229,0.4098,10.481,654,0.659,4581
gmma_l40,none,PX,OOS,overall,10,0.08157,0.1664,0.4902,12.488,649,0.6733,4581
gmma_l40,none,PX,OOS,overall,20,0.09766,0.16418,0.5948,15.036,639,0.7371,4581
gmma_l40,none,PX,OOS,vol_high,5,0.08839,0.22867,0.3866,5.964,238,0.6134,4581
gmma_l40,none,PX,OOS,vol_high,10,0.1084,0.21785,0.4976,7.676,238,0.6681,4581
gmma_l40,none,PX,OOS,vol_high,20,0.14886,0.20706,0.7189,11.044,236,0.7797,4581
gmma_l40,none,PX,OOS,vol_low,5,0.05138,0.1237,0.4154,5.32,164,0.6524,4581
gmma_l40,none,PX,OOS,vol_low,10,0.05826,0.112,0.5202,6.662,164,0.6524,4581
gmma_l40,none,PX,OOS,vol_low,20,0.0705,0.11197,0.6297,8.064,164,0.7622,4581
gmma_l40,none,PX,OOS,vol_mid,5,0.06633,0.13175,0.5035,7.992,252,0.7063,4581
gmma_l40,none,PX,OOS,vol_mid,10,0.07121,0.1332,0.5346,8.402,247,0.6923,4581
gmma_l40,none,PX,OOS,vol_mid,20,0.06573,0.13117,0.5011,7.747,239,0.6778,4581
gmma_l45,none,PX,IS,overall,5,0.05086,0.13865,0.3668,9.883,726,0.6322,4581
gmma_l45,none,PX,IS,overall,10,0.05824,0.13871,0.4198,11.312,726,0.6598,4581
gmma_l45,none,PX,IS,overall,20,0.07156,0.14038,0.5098,13.736,726,0.6694,4581
gmma_l45,none,PX,IS,vol_high,5,0.05963,0.14824,0.4022,5.136,163,0.6319,4581
gmma_l45,none,PX,IS,vol_high,10,0.0657,0.13613,0.4826,6.161,163,0.6687,4581
gmma_l45,none,PX,IS,vol_high,20,0.09828,0.11871,0.8279,10.57,163,0.7669,4581
gmma_l45,none,PX,IS,vol_low,5,0.05313,0.12603,0.4216,6.966,273,0.663,4581
gmma_l45,none,PX,IS,vol_low,10,0.05857,0.1328,0.441,7.287,273,0.6667,4581
gmma_l45,none,PX,IS,vol_low,20,0.07516,0.13785,0.5452,9.008,273,0.707,4581
gmma_l45,none,PX,IS,vol_mid,5,0.04378,0.14443,0.3031,5.162,290,0.6034,4581
gmma_l45,none,PX,IS,vol_mid,10,0.05373,0.1457,0.3687,6.279,290,0.6483,4581
gmma_l45,none,PX,IS,vol_mid,20,0.05316,0.15131,0.3514,5.983,290,0.5793,4581
gmma_l45,none,PX,OOS,overall,5,0.07187,0.17307,0.4152,10.619,654,0.6606,4581
gmma_l45,none,PX,OOS,overall,10,0.08337,0.16766,0.4972,12.667,649,0.6764,4581
gmma_l45,none,PX,OOS,overall,20,0.09934,0.16606,0.5982,15.122,639,0.7449,4581
gmma_l45,none,PX,OOS,vol_high,5,0.0908,0.22837,0.3976,6.134,238,0.6303,4581
gmma_l45,none,PX,OOS,vol_high,10,0.1118,0.21882,0.5109,7.882,238,0.6723,4581
gmma_l45,none,PX,OOS,vol_high,20,0.15239,0.20993,0.7259,11.152,236,0.7966,4581
gmma_l45,none,PX,OOS,vol_low,5,0.0505,0.12751,0.396,5.072,164,0.6524,4581
gmma_l45,none,PX,OOS,vol_low,10,0.05765,0.1157,0.4983,6.381,164,0.6524,4581
gmma_l45,none,PX,OOS,vol_low,20,0.07229,0.1135,0.6369,8.156,164,0.75,4581
gmma_l45,none,PX,OOS,vol_mid,5,0.0679,0.13219,0.5136,8.154,252,0.6944,4581
gmma_l45,none,PX,OOS,vol_mid,10,0.07305,0.13312,0.5488,8.624,247,0.6964,4581
gmma_l45,none,PX,OOS,vol_mid,20,0.06553,0.13093,0.5005,7.737,239,0.6904,4581
gmma_l50,none,PX,IS,overall,5,0.05159,0.13946,0.3699,9.967,726,0.6295,4581
gmma_l50,none,PX,IS,overall,10,0.05948,0.13938,0.4268,11.499,726,0.6653,4581
gmma_l50,none,PX,IS,overall,20,0.07319,0.14149,0.5173,13.937,726,0.6763,4581
gmma_l50,none,PX,IS,vol_high,5,0.05951,0.14908,0.3992,5.097,163,0.6319,4581
gmma_l50,none,PX,IS,vol_high,10,0.06676,0.13641,0.4894,6.248,163,0.6687,4581
