panel,signal,horizon,period,bucket,n_days,ic_mean,ic_ir,t_stat,ic_pos_rate
raw_469_pre_triage,S1_mom5,10,OOS,HIGH,126,0.0707969922717666,0.2044839309732525,2.295326432407929,0.5079365079365079
raw_469_pre_triage,S1_mom5,20,ALL,ALL,1006,0.0549128402966983,0.1806134005742859,5.728606084363762,0.5666003976143141
raw_469_pre_triage,S1_mom5,20,IS,ALL,609,0.0394610961202518,0.1352670905777535,3.33811116474009,0.5517241379310345
raw_469_pre_triage,S1_mom5,20,IS,LOW,248,0.0469176011652871,0.1735807060466201,2.733551692375233,0.5725806451612904
raw_469_pre_triage,S1_mom5,20,IS,MID,192,0.0395765333731864,0.1335487094510057,1.850505200435166,0.5572916666666666
raw_469_pre_triage,S1_mom5,20,IS,HIGH,169,0.0283878582283454,0.0895305046467198,1.163896560407358,0.514792899408284
raw_469_pre_triage,S1_mom5,20,OOS,ALL,397,0.0786158937059071,0.2449596920995296,4.880787287839745,0.5894206549118388
raw_469_pre_triage,S1_mom5,20,OOS,LOW,92,0.0949300706620481,0.3819389342794151,3.663429561995368,0.6304347826086957
raw_469_pre_triage,S1_mom5,20,OOS,MID,181,0.1065999519815235,0.329111144960401,4.427737613999213,0.6187845303867403
raw_469_pre_triage,S1_mom5,20,OOS,HIGH,124,0.025664128965169,0.0716796899045387,0.7981912459783953,0.5161290322580645
raw_469_pre_triage,S2_mom10,5,ALL,ALL,1016,0.0615213400833232,0.2072278165969419,6.605335862700728,0.5797244094488189
raw_469_pre_triage,S2_mom10,5,IS,ALL,604,0.0620791384594814,0.2119692412726526,5.209443289297353,0.5728476821192053
raw_469_pre_triage,S2_mom10,5,IS,LOW,248,0.0700599061125836,0.2667404412301802,4.200632669127648,0.5806451612903226
raw_469_pre_triage,S2_mom10,5,IS,MID,187,0.0654523492330016,0.2291242570204548,3.133227091038537,0.5935828877005348
raw_469_pre_triage,S2_mom10,5,IS,HIGH,169,0.0466352284439923,0.1370787987614603,1.7820243838989844,0.5384615384615384
raw_469_pre_triage,S2_mom10,5,OOS,ALL,412,0.0607035968328389,0.2003313248391705,4.066281785768014,0.5898058252427184
raw_469_pre_triage,S2_mom10,5,OOS,LOW,92,0.0420336114262114,0.1802416955262111,1.728817610439873,0.5760869565217391
raw_469_pre_triage,S2_mom10,5,OOS,MID,194,0.0656137550930136,0.2151652846025698,2.9969056277154187,0.6185567010309279
raw_469_pre_triage,S2_mom10,5,OOS,HIGH,126,0.066775564729155,0.1940653750268109,2.178378431958367,0.5555555555555556
raw_469_pre_triage,S2_mom10,10,ALL,ALL,1011,0.063092221623236,0.2101324974331408,6.681420418499448,0.5816023738872403
raw_469_pre_triage,S2_mom10,10,IS,ALL,604,0.0582739149741823,0.1987433153643592,4.884397492303258,0.5794701986754967
raw_469_pre_triage,S2_mom10,10,IS,LOW,248,0.0546176724241611,0.196052127641305,3.08743199352881,0.5766129032258065
raw_469_pre_triage,S2_mom10,10,IS,MID,187,0.0491168501304024,0.1741891867548146,2.3820013035871304,0.5668449197860963
raw_469_pre_triage,S2_mom10,10,IS,HIGH,169,0.0737716621824194,0.226488598777488,2.944351784107344,0.5976331360946746
raw_469_pre_triage,S2_mom10,10,OOS,ALL,407,0.0702427307535271,0.2261317971600877,4.562037374085001,0.5847665847665847
raw_469_pre_triage,S2_mom10,10,OOS,LOW,92,0.0839374940453316,0.3765116482227794,3.611372862882469,0.6413043478260869
raw_469_pre_triage,S2_mom10,10,OOS,MID,189,0.0879877692827904,0.2840385184097801,3.904884032687777,0.6031746031746031
raw_469_pre_triage,S2_mom10,10,OOS,HIGH,126,0.033625821984664,0.0929306735405113,1.0431442233321957,0.5158730158730159
raw_469_pre_triage,S2_mom10,20,ALL,ALL,1001,0.0542371093753923,0.1812441010993848,5.734306724226334,0.5774225774225774
raw_469_pre_triage,S2_mom10,20,IS,ALL,604,0.0342517746989636,0.1227269686588064,3.016188478370096,0.543046357615894
raw_469_pre_triage,S2_mom10,20,IS,LOW,248,0.0501801659273701,0.1830245278998101,2.8822731476407983,0.5604838709677419
raw_469_pre_triage,S2_mom10,20,IS,MID,187,0.0165828990076698,0.0649586959288239,0.8882968068481545,0.4973262032085561
raw_469_pre_triage,S2_mom10,20,IS,HIGH,169,0.0304283352293016,0.0981226090739044,1.2755939179607585,0.5680473372781065
raw_469_pre_triage,S2_mom10,20,OOS,ALL,397,0.0846430089838632,0.2599866396312207,5.180197096282486,0.6297229219143576
raw_469_pre_triage,S2_mom10,20,OOS,LOW,92,0.0902831226494738,0.3959865145644001,3.7981692187093614,0.6847826086956522
raw_469_pre_triage,S2_mom10,20,OOS,MID,181,0.1272947514858781,0.3838759088886427,5.16452215891652,0.6685082872928176
raw_469_pre_triage,S2_mom10,20,OOS,HIGH,124,0.018200623095953,0.0495872961090241,0.5521807602498483,0.532258064516129
raw_469_pre_triage,S3_mom20,5,ALL,ALL,1006,0.0529014978330937,0.1755958675481175,5.569462465281177,0.5805168986083499
raw_469_pre_triage,S3_mom20,5,IS,ALL,594,0.0493064580647651,0.1707301620162942,4.161055179150282,0.5858585858585859
raw_469_pre_triage,S3_mom20,5,IS,LOW,248,0.0570068738889239,0.2357112787899029,3.7119849303701775,0.6088709677419355
raw_469_pre_triage,S3_mom20,5,IS,MID,177,0.0064415936594052,0.0235757607489212,0.3136550965560685,0.519774011299435
raw_469_pre_triage,S3_mom20,5,IS,HIGH,169,0.0829004099899563,0.2325950200540341,3.023735260702443,0.621301775147929
raw_469_pre_triage,S3_mom20,5,OOS,ALL,412,0.0580846376932568,0.1822679658190267,3.699635641774475,0.5728155339805825
raw_469_pre_triage,S3_mom20,5,OOS,LOW,92,0.0330148327438985,0.1287839071464701,1.2352518431768391,0.5869565217391305
raw_469_pre_triage,S3_mom20,5,OOS,MID,194,0.0805716569091041,0.2634021047521308,3.6687667880152026,0.5773195876288659
raw_469_pre_triage,S3_mom20,5,OOS,HIGH,126,0.0417667037842614,0.1115923225253242,1.2526207136524183,0.5555555555555556
raw_469_pre_triage,S3_mom20,10,ALL,ALL,1001,0.0520875586109668,0.1765298356179028,5.585154039607778,0.5694305694305695
raw_469_pre_triage,S3_mom20,10,IS,ALL,594,0.0392540414274,0.1404845132396812,3.423904742447278,0.569023569023569
raw_469_pre_triage,S3_mom20,10,IS,LOW,248,0.0305378564568276,0.1232984732130357,1.9417062978661563,0.5604838709677419
raw_469_pre_triage,S3_mom20,10,IS,MID,177,0.0213272770108176,0.0784631962092217,1.0438849310187064,0.5423728813559322
raw_469_pre_triage,S3_mom20,10,IS,HIGH,169,0.0708200247080925,0.2169652921446518,2.8205487978804733,0.6094674556213018
raw_469_pre_triage,S3_mom20,10,OOS,ALL,407,0.070817556662659,0.2241559044060507,4.522175237471287,0.5700245700245701
raw_469_pre_triage,S3_mom20,10,OOS,LOW,92,0.064645564218737,0.2743823191108867,2.631782750863281,0.5978260869565217
raw_469_pre_triage,S3_mom20,10,OOS,MID,189,0.0915084466776255,0.3129785179201572,4.302743247792639,0.5925925925925926
raw_469_pre_triage,S3_mom20,10,OOS,HIGH,126,0.0442877558056127,0.1129207552967824,1.2675323345288956,0.5158730158730159
raw_469_pre_triage,S3_mom20,20,ALL,ALL,991,0.0371746590441296,0.1236235232649894,3.8916873621745793,0.557013118062563
raw_469_pre_triage,S3_mom20,20,IS,ALL,594,0.0162164488217036,0.0563498949540065,1.3733661321106545,0.531986531986532
raw_469_pre_triage,S3_mom20,20,IS,LOW,248,0.0269708735169313,0.1040192275218218,1.6380964331109025,0.5443548387096774
raw_469_pre_triage,S3_mom20,20,IS,MID,177,0.0124153605653716,0.0421384964664554,0.5606162328618978,0.5423728813559322
raw_469_pre_triage,S3_mom20,20,IS,HIGH,169,0.0044158292770544,0.0138118655987941,0.1795542527843244,0.5029585798816568
raw_469_pre_triage,S3_mom20,20,OOS,ALL,397,0.0685327871854924,0.2162859659629603,4.309467342003503,0.5944584382871536
raw_469_pre_triage,S3_mom20,20,OOS,LOW,92,0.083407689098599,0.4284720081423285,4.109759127012167,0.7065217391304348
raw_469_pre_triage,S3_mom20,20,OOS,MID,181,0.1056463054392806,0.3198544618636979,4.303201679693268,0.6132596685082873
raw_469_pre_triage,S3_mom20,20,OOS,HIGH,124,0.0033228050891903,0.0092486436429435,0.102988536959391,0.4838709677419355
raw_469_pre_triage,S4_mom60,5,ALL,ALL,966,0.0276967936467294,0.0883088242602308,2.744685992092485,0.5600414078674948
