880786.TDX	2025-12-19	海外业务	风格板块	306	2506.76	2157.91	67576.45	59414.43
880787.TDX	2025-12-19	高商誉	风格板块	16	151.36	141.21	1756.0	1644.91
880790.TDX	2025-12-19	高负债率	风格板块	94	1811.19	1674.17	7856.0	7453.67
880791.TDX	2025-12-19	网红经济	概念板块	114	1043.8	924.76	9160.32	7941.45
880792.TDX	2025-12-19	基金增仓	风格板块	100	486.93	376.53	10083.91	6767.87
880793.TDX	2025-12-19	基金减仓	风格板块	100	398.21	310.33	20295.97	15780.58
880794.TDX	2025-12-19	远程办公	概念板块	38	287.59	255.75	6253.51	5565.56
880795.TDX	2025-12-19	口罩防护	概念板块	195	1949.9	1817.19	35179.61	31342.56
880796.TDX	2025-12-19	医废处理	概念板块	41	470.18	392.5	2943.76	2415.69
880797.TDX	2025-12-19	虫害防治	概念板块	34	247.4	224.82	2359.83	2191.14
880798.TDX	2025-12-19	超级电容	概念板块	37	518.75	497.9	9320.58	8493.89
880799.TDX	2025-12-19	数据中心	概念板块	558	7203.06	6692.56	145587.61	134701.17
880801.TDX	2025-12-19	基金重仓	风格板块	200	19518.45	18638.75	416808.56	397684.75
880802.TDX	2025-12-19	QFII重仓	风格板块	200	2974.27	2450.41	54844.7	46632.56
880803.TDX	2025-12-19	券商重仓	风格板块	200	3901.37	3430.29	45447.06	39696.02
880804.TDX	2025-12-19	信托重仓	风格板块	30	1244.47	1100.14	9497.09	8795.65
880805.TDX	2025-12-19	保险重仓	风格板块	200	13079.54	12364.13	151215.47	144000.03
880806.TDX	2025-12-19	社保重仓	风格板块	200	12153.68	11954.02	174234.31	167347.7
880807.TDX	2025-12-19	股东增持	风格板块	36	1137.19	1119.96	8822.72	8657.6
880808.TDX	2025-12-19	股东减持	风格板块	327	1815.92	1658.52	51466.38	47407.69
880809.TDX	2025-12-19	基金独门	风格板块	100	363.48	310.01	5300.58	4244.94
880813.TDX	2025-12-19	并购重组预案	风格板块	185	2040.01	1935.65	32548.38	30704.54
880814.TDX	2025-12-19	拟增持	风格板块	26	370.15	360.86	3373.7	3221.38
880815.TDX	2025-12-19	拟减持	风格板块	575	3927.59	3564.88	85514.92	75995.53
