trade_date,news_count,sentiment_index,quintile_tier,window
2012-06-06,2434,0.006163,2,exam
2012-06-07,2637,0.006492,2,exam
2012-06-08,1117,0.024781,5,exam
2012-06-11,3966,0.007665,3,exam
2012-06-12,1279,0.017263,5,exam
2012-06-13,1144,0.010664,4,exam
2012-06-14,1141,0.009746,3,exam
2012-06-15,1086,0.011197,4,exam
2012-06-18,3903,0.003689,2,exam
2012-06-19,1251,0.011447,4,exam
2012-06-20,1120,0.010893,4,exam
2012-06-21,1192,0.008154,3,exam
2012-06-25,3780,0.001725,1,exam
2012-06-26,1231,0.007961,3,exam
2012-06-27,1229,0.011261,4,exam
2012-06-28,1231,0.008188,3,exam
2012-06-29,1174,0.002147,1,exam
2012-07-02,3936,0.002612,1,exam
2012-07-03,2050,0.009171,3,exam
2012-07-04,2721,0.009026,3,exam
2012-07-05,1220,0.007607,3,exam
2012-07-06,1131,0.026773,5,exam
2012-07-09,3901,0.008859,3,exam
2012-07-10,1255,0.008637,3,exam
2012-07-11,1224,0.013203,4,exam
2012-07-12,1203,0.016326,5,exam
2012-07-13,1349,0.016812,5,exam
2012-07-16,3976,0.003984,2,exam
2012-07-17,1176,0.008231,3,exam
2012-07-18,1519,0.009533,3,exam
2012-07-19,1396,0.007908,3,exam
2012-07-20,1371,0.016222,5,exam
2012-07-23,3897,0.002977,1,exam
2012-07-24,1209,0.000562,1,exam
2012-07-25,1183,0.011226,4,exam
2012-07-26,1211,0.002775,1,exam
2012-07-27,1179,0.0057,2,exam
2012-07-30,3941,0.001492,1,exam
2012-07-31,2186,0.00322,1,exam
2012-08-01,1103,0.004424,2,exam
2012-08-02,1142,0.005814,2,exam
2012-08-03,1113,0.008913,3,exam
2012-08-06,5408,0.002936,1,exam
2012-08-07,1729,0.010503,4,exam
2012-08-08,1624,0.008818,3,exam
2012-08-09,1134,0.011429,4,exam
2012-08-10,1136,0.012324,4,exam
2012-08-13,3925,0.003251,2,exam
2012-08-14,1289,0.004903,2,exam
2012-08-15,1188,0.00862,3,exam
2012-08-16,1270,0.007811,3,exam
2012-08-17,1287,0.008827,3,exam
2012-08-20,4069,0.003549,2,exam
2012-08-21,1259,0.007053,3,exam
2012-08-22,1139,0.017278,5,exam
2012-08-23,1194,0.007605,3,exam
2012-08-24,1331,0.007243,3,exam
2012-08-27,4196,0.002069,1,exam
2012-08-28,1880,0.005021,2,exam
2012-08-29,1384,0.013902,5,exam
